chrom	start	end	gene1	gene2	gene1_strand	gene2_strand	inter_tss_distance	pair_type	orig_start	orig_end	cpg_overlap_fraction	cpg_obs_exp	cpg_gc_pct	H3K4me3_n_present	H3K4me3_frac_present	H3K4me3_mean	H3K4me3_cv	H3K27ac_n_present	H3K27ac_frac_present	H3K27ac_mean	H3K27ac_cv
chr2	85561288	85561616	GGCX	VAMP8	-	+	29	divergent_classic	85561532	85561561	1.0	70.4	37.0	11	1.0	22.38166031849358	0.5757537428464341	10	0.9090909090909091	6.698730708362985	0.7772656226743904
chr2	85602143	85603196	USP39	TMEM150A	+	-	341	divergent_overlapping	85602855	85603196	0.9221272554605888	70.4	100.0	11	1.0	32.115749491259756	0.5501833982546459	11	1.0	6.320279216827566	0.8016497026339515
chr2	86105536	86106527	POLR1A	PTCD3	-	+	67	divergent_classic	86106155	86106222	1.0	54.3	67.0	11	1.0	26.58774320854741	0.4025173700471254	11	1.0	16.874017993725758	0.5787168575550634
chr2	96265121	96266553	TMEM127	CIAO1	-	+	161	divergent_classic	96265997	96266158	1.0	65.7	134.0	11	1.0	36.96968813569296	0.6014245364016219	11	1.0	8.21521329331087	0.6684025925254755
chr2	98608181	98608859	COA5	UNC50	-	+	63	divergent_classic	98608515	98608578	1.0	72.3	84.0	11	1.0	46.28435049067845	0.5812961181220486	11	1.0	21.3954945599094	0.4311413384867392
chr2	99180885	99181160	MITD1	MRPL30	-	+	93	divergent_classic	99181058	99181151	1.0	58.5	20.0	11	1.0	21.96267149688784	0.4140187751215935	10	0.9090909090909091	8.130657547436469	0.6704979767719719
chr2	99336025	99340702	EIF5B	TXNDC9	+	-	3332	divergent_overlapping	99337370	99340702	0.40880906564036773	57.0	148.0	11	1.0	16.41155907128419	0.3802323894918614	9	0.8181818181818182	8.045017482416831	0.5677626892797963
chr2	101252561	101253540	TBC1D8	CNOT11	-	+	19	divergent_classic	101252866	101252885	1.0	66.9	109.0	11	1.0	36.35756419697613	0.6192717642109289	11	1.0	12.971427646851469	0.4895093895781424
chr2	119366665	119367711	C2orf76	DBI	-	+	89	divergent_classic	119366834	119366923	1.0	66.4	85.0	11	1.0	30.31056875932127	0.42696450471022623	11	1.0	10.775779571031737	0.8852083198882196
chr2	121736532	121737343	NIFK	TSN	-	+	191	divergent_classic	121736911	121737102	1.0	65.7	91.0	11	1.0	28.26958163135034	0.42824762864087784	10	0.9090909090909091	8.990395551503433	0.7247400990085372
chr2	130181267	130182773	MZT2B	SMPD4	+	-	1014	divergent_overlapping	130181736	130182750	1.0	61.2	140.0	11	1.0	24.55079149540438	0.5585799298933719	11	1.0	10.98130196119169	0.4786126622804954
chr2	130341896	130343290	CCDC115	IMP4	-	+	177	divergent_classic	130342699	130342876	1.0	60.0	98.0	11	1.0	29.47604521005918	0.4789541633458816	11	1.0	11.569431086601021	0.9004125090961863
chr2	171433854	171434802	DCAF17	METTL8	+	-	586	divergent_overlapping	171434216	171434802	0.9831223628691983	72.3	104.0	11	1.0	25.867971012354527	0.6076725049093531	11	1.0	14.24261846737819	0.5835542357277164
chr2	177392499	177393164	AGPS	NFE2L2	+	-	11	divergent_overlapping	177392745	177392756	1.0	62.0	64.0	11	1.0	29.7087689119223	0.4657637696973138	11	1.0	11.168892522817266	0.7536472716814113
chr2	189783840	189784758	PMS1	ORMDL1	+	-	280	divergent_overlapping	189784084	189784364	1.0	65.4	96.0	11	1.0	28.3354734864397	0.38727678969815166	11	1.0	16.02439309109093	0.6696900004472733
chr2	190343569	190344274	INPP1	HIBCH	+	-	624	divergent_overlapping	190343569	190344193	0.9843971631205674	67.4	90.0	10	0.9090909090909091	21.764614280033133	0.6656048353713848	9	0.8181818181818182	9.259638509621919	0.9979898531399463
chr2	197515570	197516737	MOB4	HSPD1	+	-	1167	divergent_overlapping	197515570	197516737	0.7523564695801199	69.1	83.0	11	1.0	36.678046602069564	0.6077446924015741	11	1.0	15.623210842352016	0.6459564979441883
chr2	201071301	201071671	NDUFB3	HYCC2	+	-	239	divergent_overlapping	201071432	201071671	0.9513513513513514	66.8	29.0	11	1.0	50.26325816262267	0.5855088449435318	11	1.0	8.909279976629215	0.4346344495857745
chr2	206159186	206160257	NDUFS1	EEF1B2	-	+	75	divergent_classic	206159509	206159584	1.0	62.1	94.0	11	1.0	28.883608810784082	0.45435533601986205	11	1.0	17.0920139995104	0.5175689437308811
chr2	208266024	208266412	IDH1	PIKFYVE	-	+	180	divergent_classic	208266074	208266254	1.0	68.6	39.0	11	1.0	16.140416764729807	0.49588143097943227	10	0.9090909090909091	7.679499096915438	0.8385505657491977
chr2	218269650	218270670	PNKD	AAMP	+	-	528	divergent_overlapping	218269650	218270178	0.5941176470588235	65.8	58.0	11	1.0	27.827171918608588	0.5769161923051802	11	1.0	7.5576264110972	0.73313396428859
chr2	218658763	218659854	BCS1L	ZNF142	+	-	892	divergent_overlapping	218658763	218659655	0.6196150320806599	67.0	55.0	11	1.0	36.766683623923626	0.5015952117892271	11	1.0	6.9573347375765024	0.8522061332144804
chr2	218671687	218672090	RNF25	STK36	-	+	66	divergent_classic	218672002	218672068	1.0	64.3	31.0	11	1.0	41.20237077841661	0.6994888833393663	11	1.0	8.876469690145894	0.6041614691706682
chr2	219176224	219178289	RETREG2	CNPPD1	+	-	1882	divergent_overlapping	219176224	219178106	0.9113801452784503	60.1	150.0	11	1.0	24.858082157598233	0.43268256599726024	11	1.0	16.800505888165628	0.5856617575011583
chr2	219229250	219229975	ATG9A	ANKZF1	-	+	65	divergent_classic	219229717	219229782	1.0	57.9	63.0	11	1.0	24.85283834270549	0.3618140000529689	11	1.0	11.128026441439117	0.45897698457400854
chr2	241314884	241317061	SEPTIN2	HDLBP	+	-	1962	divergent_overlapping	241315099	241317061	0.7932935231970601	64.7	155.0	11	1.0	34.84183495926558	0.4646983968934013	11	1.0	22.254119664444957	0.5330701310420549
chr2	241636291	241638148	THAP4	ATG4B	-	+	54	divergent_classic	241637158	241637212	1.0	64.4	229.0	11	1.0	33.2287233482561	0.5570525611624987	11	1.0	14.81345569792265	0.5907841356895158
chr2	241686546	241687305	DTYMK	ING5	-	+	140	divergent_classic	241686944	241687084	1.0	74.8	110.0	11	1.0	28.39588720109647	0.49419680157190177	11	1.0	16.16932700860824	0.712998805750105
chr20	2840217	2841265	VPS16	PCED1A	+	-	488	divergent_overlapping	2840702	2841190	1.0	70.4	104.0	11	1.0	31.716694426811976	0.6630039969692462	10	0.9090909090909091	9.006146804532854	0.7394500007045351
chr20	5126556	5127440	PCNA	CDS2	-	+	252	divergent_classic	5126626	5126878	1.0	68.3	102.0	11	1.0	22.148123263557324	0.5645195144681565	11	1.0	8.670074177352904	0.7823390772942257
chr20	17968112	17969365	SNX5	MGME1	-	+	37	divergent_classic	17968980	17969017	1.0	63.3	117.0	11	1.0	30.644007380921256	0.506418715154017	11	1.0	25.961089160853522	0.4228293322596405
chr20	32207479	32208038	PLAGL2	POFUT1	-	+	111	divergent_classic	32207743	32207854	1.0	80.0	87.0	11	1.0	21.92196024970168	0.47019850743728653	10	0.9090909090909091	8.515332029554385	0.7334519662679776
chr20	35698899	35699779	ROMO1	NFS1	+	-	84	divergent_overlapping	35699271	35699355	1.0	69.0	92.0	11	1.0	36.73954966696222	0.4321675456158707	11	1.0	14.473504092983383	0.9124035839663067
chr20	38033432	38034093	TTI1	RPRD1B	-	+	263	divergent_classic	38033461	38033724	1.0	67.2	67.0	11	1.0	37.38737966084707	0.5973508870363953	11	1.0	24.167635360321206	0.48567401269592714
chr20	45890143	45891722	CTSA	NEURL2	+	-	1065	divergent_overlapping	45890143	45891208	0.9271690943635212	67.9	145.0	11	1.0	27.825344405923683	0.7013733779083964	10	0.9090909090909091	8.01638894248964	0.7537547494617934
chr20	62142542	62144611	PSMA7	SS18L1	-	+	328	divergent_classic	62143440	62143768	1.0	71.3	281.0	11	1.0	24.092971339446247	0.5897417978988959	11	1.0	9.47901736469522	0.6131795357941318
chr20	62937457	62938564	DIDO1	GID8	-	+	194	divergent_classic	62937952	62938146	1.0	66.2	124.0	11	1.0	32.33000328998122	0.7012193903841112	11	1.0	15.139112457854868	0.6660419629004279
chr20	63707307	63708922	ZGPAT	ARFRP1	+	-	561	divergent_overlapping	63707464	63708025	1.0	71.6	180.0	11	1.0	35.41122699279424	0.6292676141268697	11	1.0	8.515404777006195	0.7864425937582359
chr21	25734503	25735900	GABPA	ATP5PF	+	-	1104	divergent_overlapping	25734569	25735673	1.0	66.0	121.0	11	1.0	31.19709919004175	0.48400821091158813	11	1.0	25.296583851797948	0.6866496350906438
chr21	33541997	33543491	SON	GART	+	-	454	divergent_overlapping	33543037	33543491	0.9230254350736279	60.4	106.0	11	1.0	28.401256070563605	0.41229630641066095	11	1.0	32.939947906216325	0.6247719672560008
chr21	33641570	33643926	ITSN1	CRYZL1	+	-	1527	divergent_overlapping	33642399	33643926	0.5207979626485568	65.3	65.5	11	1.0	23.738847778333945	0.4298452763801757	11	1.0	9.194101730986468	0.5393928491064268
chr21	37072560	37074197	PIGP	TTC3	-	+	55	divergent_classic	37073170	37073225	1.0	64.5	162.0	11	1.0	36.80093440297065	0.6411817339380557	11	1.0	15.636254156140124	0.6220216148560523
chr21	42879001	42879698	WDR4	NDUFV3	-	+	75	divergent_classic	42879568	42879643	1.0	69.4	78.0	11	1.0	30.013740639411836	0.5308928940243843	10	0.9090909090909091	15.77758975269149	0.5858466718448703
chr21	46285713	46286697	MCM3AP	YBEY	-	+	44	divergent_classic	46286297	46286341	1.0	70.4	115.0	11	1.0	33.20044330053876	0.6502211712820156	11	1.0	13.096664630580625	0.5331454131007739
chr22	17628366	17628906	ATP6V1E1	BCL2L13	-	+	105	divergent_classic	17628749	17628854	1.0	61.9	40.0	11	1.0	36.955087625398384	0.6667538945963546	11	1.0	20.259982020369787	0.9427045916528086
chr22	19941370	19941945	COMT	TXNRD2	+	-	450	divergent_overlapping	19941370	19941820	0.6469565217391304	57.8	37.0	11	1.0	33.850485358860176	0.5976968184211655	10	0.9090909090909091	15.273204498171646	0.7386315337804403
chr22	20115937	20118206	RANBP1	TRMT2A	+	-	1455	divergent_overlapping	20115937	20117392	0.7183781401498458	64.25	80.0	11	1.0	28.63336422349182	0.6356691333170115	11	1.0	9.76060430986225	0.612075313128751
chr22	20495072	20496117	KLHL22	MED15	-	+	68	divergent_classic	20495844	20495912	1.0	63.5	109.0	11	1.0	20.694734803310055	0.506095914258846	10	0.9090909090909091	8.756447213233077	0.6979731481073931
chr22	20858422	20859417	SNAP29	PI4KA	+	-	411	divergent_overlapping	20859006	20859417	0.9889447236180905	66.7	106.0	11	1.0	31.01084380579878	0.7850527546000573	10	0.9090909090909091	8.353509804821647	0.8426199407743769
chr22	24554830	24556106	GUCD1	SNRPD3	-	+	22	divergent_classic	24555935	24555957	1.0	66.7	108.0	11	1.0	27.752127105363453	0.4892504038475052	11	1.0	14.658764516240252	0.4798304302382044
chr22	26483492	26484068	SRRD	HPS4	+	-	55	divergent_overlapping	26483876	26483931	1.0	73.4	72.0	11	1.0	34.046032852863874	0.5498585704073318	11	1.0	15.99752177152256	0.7082916190958947
chr22	29766847	29767368	ZMAT5	UQCR10	-	+	357	divergent_classic	29767011	29767368	0.5182341650671785	55.2	22.0	11	1.0	12.87005389687737	0.5766847947263842	11	1.0	12.34957371927962	0.578903907881483
chr22	30968578	30969589	MORC2	TUG1	-	+	470	divergent_classic	30968774	30969244	1.0	63.3	100.0	11	1.0	21.14952142870587	0.5641224163900234	11	1.0	12.758564396401598	0.5120110141411064
chr22	37848867	37849674	EIF3L	ANKRD54	+	-	460	divergent_overlapping	37848867	37849327	0.42131350681536556	67.9	35.0	11	1.0	29.922370685710977	0.42805856201163145	11	1.0	20.99407164540743	0.5947892832083262
chr22	40856142	40857236	ST13	XPNPEP3	-	+	437	divergent_classic	40856639	40857076	1.0	64.0	88.0	11	1.0	29.4186846328068	0.5796609297027594	11	1.0	22.564335929109067	0.40318757378279435
chr22	41446253	41447915	TOB2	ACO2	-	+	1028	divergent_classic	41446801	41447829	1.0	69.7	177.0	11	1.0	35.66373220981123	0.5566227651835218	11	1.0	22.502716884144238	0.6416500244123553
chr22	41620771	41621780	DESI1	XRCC6	-	+	119	divergent_classic	41621043	41621162	1.0	61.3	92.0	11	1.0	32.52888636513913	0.5729113618252547	11	1.0	22.06484557514007	0.7687199778773672
chr22	49918120	49918651	CRELD2	ALG12	+	-	272	divergent_overlapping	49918166	49918438	1.0	60.6	54.0	11	1.0	18.766620694288875	0.5539008979919945	11	1.0	12.050350826346941	0.47788131074240364
chr22	50507430	50508581	LMF2	NCAPH2	-	+	521	divergent_classic	50507702	50508223	0.7002606429192006	70.3	42.5	11	1.0	26.46162090448234	0.5879398368366018	11	1.0	8.72030356458526	0.6058121237177184
chr3	9792308	9793301	ARPC4	TADA3	+	-	517	divergent_overlapping	9792494	9793011	1.0	66.8	86.0	11	1.0	26.78986585443243	0.36484992251026055	11	1.0	26.82581721596059	0.598019063298733
chr3	14124217	14125499	CHCHD4	TMEM43	-	+	144	divergent_classic	14124870	14125014	1.0	63.3	120.0	11	1.0	29.822345346527342	0.4493737810780825	11	1.0	13.38860953467996	0.6980495637085603
chr3	14178215	14178908	XPC	LSM3	-	+	195	divergent_classic	14178621	14178816	1.0	63.1	75.0	11	1.0	23.570269601857344	0.5161568511257798	11	1.0	17.057992504426792	0.6682419633497604
chr3	15601263	15602074	BTD	HACL1	+	-	512	divergent_overlapping	15601340	15601852	1.0	60.9	70.0	11	1.0	25.022027054870644	0.6319457813638885	11	1.0	8.014346826440162	0.5125412234558571
chr3	16264629	16265479	DPH3	OXNAD1	-	+	190	divergent_classic	16264969	16265159	1.0	61.1	69.0	11	1.0	29.951619933827825	0.572393023498015	11	1.0	15.567382570577884	0.732192632040956
chr3	23945160	23946591	NR1D2	NKIRAS1	+	-	1306	divergent_overlapping	23945285	23946591	0.9573724668064291	68.6	165.0	11	1.0	18.98588155402007	0.5109435261836578	11	1.0	10.031664484198592	0.45843222265322836
chr3	36992737	36993865	EPM2AIP1	MLH1	-	+	94	divergent_classic	36993131	36993225	1.0	60.3	93.0	11	1.0	18.506191370155793	0.439997753692363	11	1.0	18.897723727265408	0.4972730072896965
chr3	42600352	42601113	NKTR	SEC22C	+	-	426	divergent_overlapping	42600654	42601080	1.0	64.0	77.0	11	1.0	24.09162444394026	0.5907401479232931	11	1.0	11.636467506915647	0.4473019710898839
chr3	43690107	43691643	ABHD5	ANO10	+	-	1487	divergent_overlapping	43690107	43691594	0.740234375	67.8	132.0	11	1.0	19.958341334003055	0.3599760549829546	11	1.0	7.038609935261831	0.5707418623584943
chr3	44975240	44976644	EXOSC7	ZDHHC3	+	-	945	divergent_overlapping	44975240	44976185	0.4458689458689459	67.7	74.0	11	1.0	44.02499049973962	0.5535179773814284	11	1.0	14.06971522138765	0.5422043642273965
chr3	47282257	47283451	KLHL18	KIF9	+	-	535	divergent_overlapping	47282916	47283451	0.7546063651591289	64.9	96.0	11	1.0	35.12585701804658	0.46567745443718783	11	1.0	20.810658362381822	0.8126608093964575
chr3	48440004	48440756	TMA7	CCDC51	+	-	200	divergent_overlapping	48440256	48440456	1.0	63.6	61.0	11	1.0	32.63492222951324	0.5144867551957446	11	1.0	13.002234261652312	0.6728197450342004
chr3	49020458	49022553	NDUFAF3	DALRD3	+	-	1835	divergent_overlapping	49020458	49022293	0.7928400954653938	69.8	174.0	11	1.0	31.023419160018673	0.5771389998644954	11	1.0	17.608441971277344	0.5376881764278677
chr3	49411428	49412998	TCTA	RHOA	+	-	787	divergent_overlapping	49412211	49412998	0.7031847133757961	63.9	120.0	11	1.0	26.630470164836506	0.4870723022277875	11	1.0	15.36395069938988	0.6533355158926789
chr3	49689501	49689907	MST1	RNF123	-	+	36	divergent_classic	49689501	49689537	0.8990147783251231	69.9	35.0	11	1.0	38.44775805009944	0.6523718362060489	11	1.0	7.286151608584496	0.5395909868690145
chr3	50350528	50351250	NPRL2	CYB561D2	-	+	18	divergent_classic	50350826	50350844	1.0	64.8	64.0	11	1.0	21.308027656212055	0.40050354516967096	9	0.8181818181818182	7.424823509336767	0.6940338131546546
chr3	51983040	51983576	ACY1	ABHD14B	+	-	70	divergent_overlapping	51983339	51983409	1.0	72.9	61.0	11	1.0	19.371303533593867	0.6647131276836898	11	1.0	13.721486210155842	0.7100420914336599
chr3	52704954	52706410	SPCS1	GLT8D1	+	-	1078	divergent_overlapping	52704954	52706032	0.6105769230769231	66.5	100.0	11	1.0	39.93290062187913	0.5362822421699728	11	1.0	16.151688755918425	0.6505683292285208
chr3	63863154	63864681	ATXN7	THOC7	+	-	714	divergent_overlapping	63863154	63863868	0.8585461689587426	71.0	152.0	11	1.0	37.21695629176626	0.6467772858193505	11	1.0	12.694728760851715	0.5891745234525492
chr3	88149364	88150363	CGGBP1	C3orf38	-	+	73	divergent_classic	88149885	88149958	1.0	59.2	70.0	11	1.0	38.06167573339218	0.5074161291589147	11	1.0	21.522942243285613	0.6285976746862323
chr3	94062804	94063389	NSUN3	DHFR2	+	-	410	divergent_overlapping	94062979	94063389	0.7863247863247863	55.9	36.0	11	1.0	25.754929357164112	0.3919733606022647	11	1.0	25.814564673381895	0.4768470552542364
chr3	112561175	112562103	SLC35A5	ATG3	+	-	338	divergent_overlapping	112561708	112562046	1.0	60.9	77.0	11	1.0	34.7961042136138	0.557724039499046	11	1.0	18.55882907631057	0.7848281960482034
chr3	113745590	113746769	NAA50	ATP6V1A	-	+	469	divergent_classic	113746300	113746769	0.6123833757421544	70.1	79.0	11	1.0	30.58980371349946	0.615624877127126	11	1.0	40.68803740014861	0.6125391617230792
chr3	119468830	119469461	TMEM39A	POGLUT1	-	+	132	divergent_classic	119468830	119468962	0.8890649762282092	69.3	53.0	11	1.0	32.29997821835547	0.6881338495026816	11	1.0	10.01275894558808	0.6641655574264624
chr3	122793638	122795630	HSPBAP1	SLC49A4	-	+	1237	divergent_classic	122793831	122795068	0.5341365461847389	61.650000000000006	46.5	11	1.0	21.69805189744016	0.41482865721326584	11	1.0	11.799850443818343	0.7434176595195948
chr3	127598141	127598688	TPRA1	MCM2	-	+	142	divergent_classic	127598267	127598409	1.0	70.7	61.0	11	1.0	17.989925604249347	0.6805914973851414	9	0.8181818181818182	8.973645539809697	0.6483554577775479
chr3	128051640	128052781	SEC61A1	MGLL	+	-	550	divergent_overlapping	128051640	128052190	0.7738825591586328	61.0	82.0	11	1.0	31.81192788460421	0.4290236317700257	11	1.0	13.955334111070083	0.5177159726246365
chr3	134485678	134486716	CEP63	ANAPC13	+	-	1018	divergent_overlapping	134485698	134486716	0.8853564547206165	66.8	88.0	11	1.0	28.165692755382167	0.4987501998424825	11	1.0	23.591167624454144	0.613681849156169
chr3	150602874	150604004	SELENOT	SERP1	+	-	354	divergent_overlapping	150602874	150603228	0.6982300884955752	64.0	71.0	11	1.0	29.017432575144497	0.43166021892376893	11	1.0	16.280169964218217	0.5598560341812093
chr3	167734588	167735242	PDCD10	SERPINI1	-	+	303	divergent_classic	167734939	167735242	0.6941896024464832	63.2	37.0	11	1.0	24.402016281559213	0.529421157258978	11	1.0	9.178422774358623	0.6649004481822307
chr3	179604558	179605000	MRPL47	NDUFB5	-	+	40	divergent_classic	179604649	179604689	1.0	59.3	34.0	11	1.0	22.286611279289893	0.34836216187311864	11	1.0	15.975871728201486	0.5619346302919752
chr3	196568470	196569419	FBXO45	WDR53	+	-	64	divergent_overlapping	196568610	196568674	1.0	73.8	120.0	11	1.0	29.921554158568096	0.5275422683644279	9	0.8181818181818182	7.973372400020196	0.7589144289462678
chr3	196941824	196943183	NCBP2	NCBP2AS2	-	+	79	divergent_classic	196942594	196942673	1.0	65.9	130.0	11	1.0	43.7255867537661	0.509285687081687	11	1.0	16.767536510675402	0.683635113972867
chr4	499050	499590	ZNF721	PIGG	-	+	53	divergent_classic	499156	499209	1.0	68.5	69.0	11	1.0	40.261654230841884	0.5693821459808732	11	1.0	15.795069680410604	0.6546026644793211
chr4	673484	674937	MYL5	ATP5ME	+	-	751	divergent_overlapping	673579	674330	1.0	60.6	123.0	11	1.0	28.371780026465057	0.5780829318686886	11	1.0	9.895119252391375	0.610337883365011
chr4	931792	932700	GAK	TMEM175	-	+	13	divergent_classic	932373	932386	1.0	64.8	101.0	11	1.0	40.94198658288367	0.598114400529306	11	1.0	15.770763825276	0.9703133539963369
chr4	1711540	1713253	SLBP	TACC3	-	+	513	divergent_classic	1712344	1712857	1.0	64.7	188.0	11	1.0	28.626054305709093	0.40569817601417024	11	1.0	17.575186891216074	0.5817436611096443
chr4	15681354	15681978	FAM200B	FBXL5	+	-	18	divergent_overlapping	15681661	15681679	1.0	64.3	51.0	11	1.0	20.727049392071013	0.4183532887383993	11	1.0	12.163574966137018	0.5544465687585561
chr4	39458467	39459191	RPL9	LIAS	-	+	72	divergent_classic	39458931	39459003	1.0	60.1	56.0	11	1.0	31.75646816824125	0.4852629281585533	11	1.0	18.128979999531865	0.5805244957000415
chr4	56435174	56436504	PPAT	PAICS	-	+	125	divergent_classic	56435615	56435740	1.0	66.7	128.0	11	1.0	29.469884844814363	0.5846056499905002	11	1.0	15.323943502396054	0.5439570526702643
chr4	56976468	56977727	NOA1	POLR2B	-	+	115	divergent_classic	56977606	56977721	1.0	62.8	109.0	11	1.0	41.9425968770911	0.5881468129957955	10	0.9090909090909091	7.342624877456934	0.774444025770156
chr4	75513945	75514793	THAP6	RCHY1	+	-	819	divergent_overlapping	75513945	75514764	0.6698113207547169	66.0	56.0	11	1.0	34.23040097442598	0.5477397436896408	11	1.0	19.92807853896124	0.4648866803817535
chr4	75724354	75725273	USO1	G3BP2	+	-	13	divergent_overlapping	75724576	75724589	1.0	62.6	72.0	11	1.0	38.479477368368954	0.6469905274799856	11	1.0	21.392874853426186	0.6267494513410786
chr4	82428900	82431306	HNRNPDL	ENOPH1	-	+	127	divergent_classic	82430462	82430589	1.0	66.6	245.0	11	1.0	35.66257180188233	0.5170296176651409	11	1.0	19.975552248780723	0.4231989050503613
chr4	82900535	82901166	THAP9	SEC31A	+	-	483	divergent_overlapping	82900683	82901166	0.5974643423137876	62.9	34.0	11	1.0	20.57979450399981	0.5119275208375553	11	1.0	20.616292324379774	0.8396626225970975
chr4	83455513	83456084	HELQ	MRPS18C	-	+	76	divergent_classic	83455855	83455931	1.0	59.4	45.0	11	1.0	28.306105101782318	0.5308052441037081	11	1.0	19.997593110873648	0.44375568556939937
chr4	89110753	89111854	FAM13A	TIGD2	-	+	134	divergent_classic	89111398	89111532	1.0	70.6	126.0	11	1.0	22.051986509875046	0.40301211529106956	9	0.8181818181818182	4.417316448241087	0.6650987829226966
chr4	127964849	127966034	ABHD18	MFSD8	+	-	720	divergent_overlapping	127965314	127966034	0.8160337552742616	66.0	91.0	11	1.0	32.82832008283437	0.33261011021329945	11	1.0	14.473405644103297	0.7187669178740763
chr4	129093194	129093744	C4orf33	SCLT1	+	-	284	divergent_overlapping	129093316	129093600	1.0	65.8	56.0	11	1.0	27.012274310017418	0.5140432145225072	11	1.0	16.161131396395195	0.8976623434906409
chr4	139301272	139302551	NAA15	NDUFC1	+	-	1106	divergent_overlapping	139301445	139302551	0.7107114933541829	65.5	84.0	11	1.0	37.72577919931946	0.5618562284603686	11	1.0	16.7394363421878	0.7173125591699391
chr4	145098011	145098674	ABCE1	ANAPC10	+	-	254	divergent_overlapping	145098287	145098541	1.0	60.8	59.0	11	1.0	30.61730892381991	0.5644092385877474	11	1.0	24.37961247357106	0.677439346367736
chr4	165207233	165208549	KLHL2	TMEM192	+	-	989	divergent_overlapping	165207560	165208549	0.6610942249240122	68.4	126.0	11	1.0	27.998078263626585	0.5223774177816825	9	0.8181818181818182	3.9304101284625905	0.8699373912019484
chr4	174283414	174284244	FBXO8	CEP44	-	+	62	divergent_classic	174283667	174283729	1.0	56.4	56.0	11	1.0	48.47039524746385	0.6232594163721037	11	1.0	37.34504500386694	0.5007064895858194
chr4	183658768	183659491	RWDD4	TRAPPC11	-	+	63	divergent_classic	183659203	183659266	1.0	74.3	85.0	11	1.0	23.71375099823408	0.5506480819899162	10	0.9090909090909091	9.338788284659511	0.5726637458468093
chr4	184648807	184650062	PRIMPOL	CASP3	+	-	396	divergent_overlapping	184649666	184650062	0.8119521912350598	71.7	110.0	11	1.0	27.15173388096289	0.491021999133163	11	1.0	14.989092433298687	0.48104540591417577
chr5	217921	219013	CCDC127	SDHA	-	+	149	divergent_classic	218153	218302	1.0	74.9	131.0	11	1.0	33.27243639984931	0.5815928957710071	11	1.0	10.831350500378067	0.676517818125037
chr5	1799347	1801791	MRPL36	NDUFS6	-	+	40	divergent_classic	1801366	1801406	1.0	57.7	185.0	11	1.0	29.197597829717097	0.4600579295714163	11	1.0	10.353931721615275	0.5624875009026608
chr5	10249648	10250888	ATPSCKMT	CCT5	-	+	31	divergent_classic	10249897	10249928	1.0	60.2	103.0	11	1.0	30.197754834245952	0.37065990732650234	11	1.0	26.66638202278053	0.547926783855088
chr5	31532003	31532430	DROSHA	C5orf22	-	+	90	divergent_classic	31532196	31532286	1.0	63.0	42.0	11	1.0	20.687528683059593	0.39606227592096804	11	1.0	6.214514060818982	0.541198669834567
chr5	36151395	36152277	LMBRD2	SKP2	-	+	101	divergent_classic	36151887	36151988	1.0	64.4	85.0	11	1.0	31.634947786406315	0.533774482756689	9	0.8181818181818182	7.215798126959739	0.654313108781891
chr5	55307381	55308076	DHX29	MTREX	-	+	294	divergent_classic	55307694	55307988	1.0	60.6	60.0	11	1.0	26.3460432574117	0.33311907494729753	11	1.0	19.816246709799696	0.49187225352694947
chr5	62403523	62404050	DIMT1	IPO11	-	+	28	divergent_classic	62403943	62403971	1.0	70.6	57.0	11	1.0	27.75940483689864	0.6186295570931634	11	1.0	15.615974602027318	0.5582483115857221
chr5	69369260	69370039	RAD17	AK6	+	-	721	divergent_overlapping	69369292	69370013	1.0	67.8	76.0	11	1.0	30.596339020931566	0.5396368688363102	11	1.0	25.536031179150587	0.4655593296267547
chr5	73565134	73565785	UTP15	ANKRA2	+	-	225	divergent_overlapping	73565442	73565667	1.0	59.6	56.0	11	1.0	24.68776818758748	0.2598270043909886	11	1.0	19.0429780467384	0.7522564861645058
chr5	74639900	74641726	HEXB	ENC1	+	-	1402	divergent_overlapping	74640022	74641424	1.0	63.6	160.0	11	1.0	28.1350644655677	0.647157434959213	9	0.8181818181818182	10.336604034026491	0.7065540297134265
chr5	74766741	74767400	NSA2	GFM2	+	-	157	divergent_overlapping	74766990	74767147	1.0	59.9	56.0	11	1.0	33.775674915816936	0.4225333594805554	10	0.9090909090909091	10.945456924051664	0.9237135751042959
chr5	75510756	75512149	POLK	CERT1	+	-	294	divergent_overlapping	75511844	75512138	1.0	57.7	107.0	11	1.0	35.13490570607082	0.49420083026781036	10	0.9090909090909091	11.339221430284214	0.5858639687388354
chr5	80654184	80655054	MSH3	DHFR	+	-	332	divergent_overlapping	80654651	80654983	1.0	68.2	83.0	11	1.0	34.13168456555196	0.632152945995274	11	1.0	11.722028023711271	0.5271838809824435
chr5	83077283	83077863	XRCC4	TMEM167A	+	-	366	divergent_overlapping	83077497	83077863	0.4224137931034483	64.5	23.0	11	1.0	23.55919376043877	0.4635389293147457	11	1.0	13.208479828190526	0.46886925405438246
chr5	95554703	95555465	SKIC3	ARSK	-	+	50	divergent_classic	95555050	95555100	1.0	60.8	61.0	11	1.0	26.052304304156053	0.6967821168469128	11	1.0	8.468435788567941	0.5099250771713867
chr5	115841537	115842559	AP3S1	ATG12	+	-	246	divergent_overlapping	115841591	115841837	1.0	69.3	117.0	11	1.0	31.13695787780445	0.6021357409663706	11	1.0	17.901065275536812	0.6074866153541573
